	htid	page_seq	pre_sent	ent_sent	post_sent
0	mdp.39015046352020	00000106	There were not enough wagons, so the bigger boys had to walk.	We were taken to the schoolhouse in New Oraibi, with military escort.	We slept on the floor of the dining room that night.
1	mdp.39015046352020	00000073	The Hopi men took over the business of trading with the other tribes and conducted it in an orderly and business-like manner.	But when the Navajo trader came, that was something else again.	He came when the weather had cooled off in the fall.
2	mdp.39015046352020	00000071	Traders came from Utah, Hualapai, Zuni, and from New Mexico pueblos — even as far as Taos – to barter and trade for Hopi textiles and produce.	Hopi traders went to Winslow and all the little towns along the Santa Fe railroad, as far as Flagstaff.	They traversed the country in safety, as most of the tribes were friendly.
3	mdp.39015046352020	00000111	I recognized my father in the chain gang only once.	He was put on kitchen duty, and I saw him there once before he was sent to prison at Fort Huachuca.	Following is a letter from the wife of one of the prisoners at Keams Canyon.
4	mdp.39015046352020	00000064	More than once my young uncles made fun of me and fixed me up and called me that kachina and told me to go around the village singing the song of that certain kachina.	When I started going to the day school in Oraibi, we were given cotton union suits.	Then as soon as I got home from school, my mother told me to take off the white man's clothes.
5	mdp.39015046352020	00000070	Mother picked up the basket of tortillas, went to the plaza, where the crier called out notice of a trade.	One of the first women to respond traded for piki, and Henry ate heartily.	When his supplies of corn and beans were getting low, my father would take a blanket one hundred miles to Winslow, where he would trade it for ten dollars worth of flour, sugar, and salt, which he brought back on his donkey.
6	mdp.39015046352020	00000074	Mrs. Hopi brought out her peaches, and the amount would be settled — maybe two baskets or three baskets full of dried peaches for a hind quarter of mutton.	Perhaps Mrs. Navajo might think she was being shortchanged, so Mrs. Hopi would finally add another handful of peaches for good measure.	As Mrs. Navajo gave her assent, Mrs. Hopi took the meat to her house, and the next in line took up the bargaining.
7	mdp.39015046352020	00000060	After the corn was gathered and stored, then came the time for providing clothing for the family.	A native variety of cotton grown principally at Moenkopi was the sole raw material for Hopi looms during the pre-Spanish era.	When the Conquistadores came they brought with them herds of sheep, as well as the Catholic Fathers, who stayed on to carry out the saving of the souls of Hopis.
8	mdp.39015046352020	00000100	He called the men together and again urged the benefits of complying with the government orders and sending the children to school.	A few men did promise to cooperate, among them my sister Verlie's young husband.	These were permitted to stay with their families.
9	mdp.39015046352020	00000101	It is no longer used as a school for Indians but is a college for U.S. Army officers training.	Some of the older men, including my father, who were considered responsible for the affairs of the village, were given a punitive sentence of a year in prison at Fort Huachuca in southern Arizona.	Yokeoma and Twashongniwa, leader of the Shungopovites, were deposed and sent to Fort Huachuca and were to be exiled from the Hopi reservation forever.
10	mdp.39015046352020	00000088	The Friendlies asked the white people to leave at once, saying they had been too long already; the interpreters called loudly and pushed the white mediators out of the doorway.	Quoting Miss Stanley, “The melee was beginning when I, the last pahana going out, found myself jostled into the plaza.	The streets entering the plaza seemed full of excited Hopis running toward the house we had just left, and I heard Ed Gannett advising me, 'Better get out of here; there's going to be a scrap.'”
11	mdp.39015046352020	00000102	He stayed there as long as he lived; all of which time he was 100 per cent Hostile, resenting and resisting with vigor every encroachment of the white man's culture.	Superintendents came and Superintendents went, but each newcomer found Yokeoma there, a thorn in his side.	He died in 1928 and directed that none should succeed him, especially not his son Dan.
12	mdp.39015046352020	00000116	I didn't know what they meant, and they didn't tell us any Christmas story.	The second year, Christmas was just the same as the year before, but I understood more of the English words.	Later they had programs and songs.
13	mdp.39015046352020	00000089	After evicting the Hostile men, the Friendlies went into each home and forcibly ejected each family, driving them out to join their menfolk on the other side of The Line.	A struggling stream of humanity – men, women, and children – poured out of their houses past Tewaquaptewa's house and out of the village, being shoved and dragged and pulled by Tewaquaptewa and his excited followers.	Those resisting had their clothing torn and were bruised and scratched; the majority went passively, carrying burdens, the men with set faces and the women and children frightened and crying.
14	mdp.39015046352020	00000207	When they got up, it developed that the government stockman was at the bottom of the heap and was the last to get to his feet.	Lawrence was unaware that he had thrown the stockman.	About the same time, Emory jumped to another gate where a second Navajo was pulling the same trick, and two Navajos pounced upon him.
15	mdp.39015046352020	00000159	I could wear any kind of clothes that I wanted to wear if I would just stay at home with her.	At this point, Miss Sarah Abbott came into my life.	She was the first resident field nurse in Hotevilla, coming there in 1915 from Polacca, where she had served for several years.
16	mdp.39015046352020	00000166	He expected to go back to his job and more school in Phoenix.	He stopped and was working in Winslow when word came to him that his people were all sick with the flu, so he came on home to Bacabi to help.	He had been home for more than a month before he came to see me because it was such a sad time with so much sickness and death in every village.
17	mdp.39015046352020	00000200	Since the hospital was new and quite empty, they let Emory and me have one of the rooms.	Most of the Indians were afraid of the hospital and wouldn't bring in their sick.	Navajos will not go near a dead body or a place where one has died.
18	mdp.39015046352020	00000214	This work lasted more than three years.	Many of the workers were Navajos who could not speak English, so Emory learned the Navajo language.	He would be gone all week and come home for Saturday and Sunday.
19	mdp.39015046352020	00000148	A matron traveled with us.	Emory met us at the train in Phoenix, but I didn't know it.	He had been assigned by Dr. Breid to meet the train and escort the boys, walking from the Santa Fe depot on Fourth Avenue over to the streetcar line on Second Street and Washington, where he supervised their boarding the streetcar and rode out, way out, to the Indian School.
20	mdp.39015046352020	00000160	She was a good angel in my life from this time until she retired in 1925.	When I felt that I just had to get away from the tension in my home, I would go to the sewing room and find relief with Miss Abbott.	During the latter part of October an epidemic of influenza came to Hopi land.
21	mdp.39015046352020	00000150	Sometimes she would save a piece of pie or cake for me.	Clara, the other girl in the Brown home, had always been given the shirts to iron while I did the plain pieces, but when Clara was sick for a week Mrs. Brown found out that I could do fancy ironing too.	She let me run the whole house when she saw that I could do it.
22	mdp.39015046352020	00000187	A few lived in fine houses and drove Cadillacs with their long hair in a knot and a blanket over their shoulders, while the rest lived in hovels.	We stayed in Lapwai until the end of the school year and would have liked to stay longer.	The superintendent wanted us to stay, but Olive got sick, even before school was out.
23	mdp.39015046352020	00000192	In due time my first baby, a little girl, was born.	We named her Joy, and she opened the door of joy that a baby brings to its parents, “out of God's wondrous ways.”	When a birth is imminent, all the Hopi family leave the house, and the prospective mother is left with a male relative as her helper.
24	mdp.39015046352020	00000151	Emory was often sent.	He would go to town on the streetcar and look around the streets, but sometimes they would get as far away as Glendale or Peoria.	Then Emory would have to go by train, and when he found them bring them back and deliver the boys to their disciplinarian and the girls to the matron.
25	mdp.39015046352020	00000147	I could not go without the consent of my parents, which they would not give.	I was joined by a few others of like mind, and we begged the Superintendent, Mr. Leo Crane, to let us go to Phoenix Indian School.	We even suggested, “You could say we are a little older than we are.”
26	mdp.39015046352020	00000153	This is what I did during my second summer in Phoenix.	The third and last summer I worked again for Mrs. Scott, who had asthma.	She left everything for me to do.
27	mdp.39015046352020	00000152	This was later than my time.	In World War II Sam received a recognition for outsmarting the “Japs” in the jungles of the South Pacific, running communication wires, so his training did not go for naught.	I still loved to study and learn.
28	mdp.39015046352020	00000142	We played and imagined ourselves as two eastern society women.	Amelia was Mrs. Judson of New York City.	She had a son and a daughter.
29	mdp.39015046352020	00000156	Three years was the maximum time you could stay without the consent of your parents.	Superintendent Brown said that I could go home or stay on, the choice was mine.	But my three years were up, and something told me to go home.
30	mdp.39015046352020	00000141	She had taken the blows without a murmur, but when they let her go, Ella ran screaming downstairs and told the matron.	She said, “Everyone of them did it except Little Helen.”	(There was another Helen in school known as Big Helen.)
31	mdp.39015046352020	00000182	The tunnel was long and the cars filled up with smoke from the engines.	Early the next morning we passed into Oregon's virgin forests where the grass was green and thick and there were hundreds upon hundreds of sheep.	We always had little flocks of sheep.
32	mdp.39015046352020	00000168	As he grew older he had lived in Bacabi, with his cousin Susie and her husband, who was his godfather, during the summers that he was home, helping in whatever way he could.	Susie invited us to come to her home, and Emory's uncles and cousins all helped put in for the cotton and food and were the hosts for us.	After we decided to get married, I spent every minute that I could grinding in preparation for feeding the wedding guests.
33	mdp.39015046352020	00000084	I thought they were mistaken; they had misunderstood Mr. Lemmon, ...	No, indeed; they had not misunderstood Mr. Lemmon; he knew what Washington was going to do, and he had told them again and again.	If I didn't know it, that showed that I didn't know what Washington was about; so why did I say that I was from Washington, and had charge of the Indians, when I was ignorant of this program?
34	mdp.39015046352020	00000085	Tewaquaptewa, whose following was slightly outnumbered by the Hostiles, received private information of a plot to assassinate him; indeed he understood that the Shungopovis, rather than the Oraibians, were the instigators of the plot.	Tewaquaptewa called his council together that night at his house on the northern edge of the village, September 6, and they spent the night preparing for an attack on the Hostiles in the morning.	During the night he sent word to Yokeoma and his followers, who were also in council, that the Shungopovis would have to leave at once and that anyone taking their part must leave with them.
35	mdp.39015046352020	00000078	Lololama's right-hand man at this time was Yokeoma, who stood firmly for following the old traditions.	As Lololama had said in Washington, his people were blind and deaf to any change in their ways.	In due time Yokeoma parted ways with Lololama with a following of more than half the village.
36	mdp.39015046352020	00000093	They were told that all property of every description was still the property of the Hostiles.	It was further decided that two interpreters, Tewaquaptewa, a man from Moenkopi, and the people representing Washington should meet with four Hostile leaders, where an ultimatum would be delivered by Tewaquaptewa, as follows: The Hostiles should move on to the Hotevilla spring and remain there only until Washington could be heard from.	The Friendlies wished them to move farther away.
37	mdp.39015046352020	00000079	Reinforcements had to be summoned to accomplish the vaccination and fumigation order.	This situation was unbearable to the Friendlies of Shungopovi, and taking matters into their own hands they forced several of the most difficult Hostile families out of the village.	The exiles went over to Oraibi where they were welcomed and taken in by the Oraibi Hostiles.
38	mdp.39015046352020	00000081	In humiliation the kachinas turned back and retired from the plaza to the resting place and there disrobed.	This was a deliberate insult on the part of the Friendlies, with all eyes upon them.	The tension built up to fever heat, until by the end of the summer there were threats of driving the Hostiles out of the village.
39	mdp.39015046352020	00000080	If the Friendlies were the sponsors, the Hostiles refused to be spectators.	In all this, the Shungopovis were a most disturbing factor.	The Home Dance comes in July.
