method,volume_id,page_id,start,end,entity,entity_type
stanford,mdp.39015041788319,15,52,85,MASHANTUCKET PEQUOT TRIBAL NATION,ORGANIZATION
stanford,mdp.39015041788319,15,201,214,John Endicott,PERSON
stanford,mdp.39015041788319,15,218,235,Massachusetts Bay,LOCATION
stanford,mdp.39015041788319,15,260,266,Pequot,LOCATION
stanford,mdp.39015041788319,15,383,396,Fort Saybrook,LOCATION
stanford,mdp.39015041788319,15,417,428,Connecticut,LOCATION
stanford,mdp.39015041788319,15,490,502,Wethersfield,LOCATION
stanford,mdp.39015041788319,15,504,512,Hartford,LOCATION
stanford,mdp.39015041788319,15,517,524,Windsor,LOCATION
stanford,mdp.39015041788319,15,549,561,Wethersfield,LOCATION
stanford,mdp.39015041788319,15,623,634,Connecticut,LOCATION
stanford,mdp.39015041788319,15,714,728,John Underhill,PERSON
stanford,mdp.39015041788319,15,839,848,Underhill,PERSON
stanford,mdp.39015041788319,15,886,899,Narragansetts,ORGANIZATION
stanford,mdp.39015041788319,15,1165,1177,Narragansett,ORGANIZATION
stanford,mdp.39015041788319,15,1188,1205,Connecticut River,LOCATION
stanford,mdp.39015041788319,15,1327,1333,Pequot,LOCATION
stanford,mdp.39015041788319,15,1467,1473,Pequot,LOCATION
stanford,mdp.39015041788319,15,1705,1711,Pequot,LOCATION
stanford,mdp.39015041788319,15,2054,2060,Pequot,LOCATION
stanford,mdp.39015041788319,15,2186,2198,Narragansett,ORGANIZATION
stanford,mdp.39015041788319,15,2290,2303,Narragansetts,ORGANIZATION
booknlp,mdp.39015041788319,15,201,214,John Endicott,PER
booknlp,mdp.39015041788319,15,218,235,Massachusetts Bay,GPE
booknlp,mdp.39015041788319,15,325,336,the Pequots,PER
booknlp,mdp.39015041788319,15,383,396,Fort Saybrook,PER
booknlp,mdp.39015041788319,15,413,428,the Connecticut,LOC
booknlp,mdp.39015041788319,15,490,502,Wethersfield,GPE
booknlp,mdp.39015041788319,15,504,512,Hartford,GPE
booknlp,mdp.39015041788319,15,517,524,Windsor,GPE
booknlp,mdp.39015041788319,15,652,668,Pequot territory,GPE
booknlp,mdp.39015041788319,15,714,728,John Underhill,PER
booknlp,mdp.39015041788319,15,719,728,Underhill,PER
booknlp,mdp.39015041788319,15,876,884,Mohegans,PER
booknlp,mdp.39015041788319,15,886,899,Narragansetts,PER
booknlp,mdp.39015041788319,15,904,911,Pequots,PER
booknlp,mdp.39015041788319,15,1139,1150,the Pequots,LOC
booknlp,mdp.39015041788319,15,1152,1163,The Mohegan,LOC
booknlp,mdp.39015041788319,15,1165,1177,Narragansett,GPE
booknlp,mdp.39015041788319,15,1188,1205,Connecticut River,GPE
booknlp,mdp.39015041788319,15,1210,1217,Nipmuck,PER
booknlp,mdp.39015041788319,15,1242,1253,the English,PER
booknlp,mdp.39015041788319,15,1323,1333,the Pequot,PER
booknlp,mdp.39015041788319,15,1380,1391,the English,PER
booknlp,mdp.39015041788319,15,1479,1490,the Pequots,PER
booknlp,mdp.39015041788319,15,1678,1683,Uncas,PER
booknlp,mdp.39015041788319,15,1947,1958,the Pequots,PER
booknlp,mdp.39015041788319,15,1998,2009,the Pequots,PER
booknlp,mdp.39015041788319,15,2021,2032,the English,PER
booknlp,mdp.39015041788319,15,2054,2060,Pequot,PER
booknlp,mdp.39015041788319,15,2186,2198,Narragansett,PER
booknlp,mdp.39015041788319,15,2230,2242,the Mohegans,PER
booknlp,mdp.39015041788319,15,2253,2264,the Pequots,PER
booknlp,mdp.39015041788319,15,2286,2303,the Narragansetts,PER
roberta,mdp.39015041788319,15,52,78,MASHANTUCKET PEQUOT TRIBAL,ORG
roberta,mdp.39015041788319,15,107,117,Pequot War,MISC
roberta,mdp.39015041788319,15,152,159,English,MISC
roberta,mdp.39015041788319,15,201,214,John Endicott,PER
